Clinic,Street Address,Suite,Zip Code,County,State,Phone,Website,NHSC Certified,PCPCH Recognized,Clinic Type,Location 1
Illinois Valley HS,625 River St,,97523,Josephine,Oregon,541-592-3749,http://www.siskiyouhealthcenter.com/locations/#schoolbased,No,Yes,FQHC/SBHC,"625 River St
Cave Junction, OR 97523
(42.168492266000044, -123.63330435899996)"
Internal Medicine Group 1825,1825 E 19th St,,97058,Wasco,Oregon,541-506-6940,http://www.mcmc.net/Clinics/InternalMed/River-View-Clinic.aspx,Yes,No,RHC,"1825 E 19th St
The Dalles, OR 97058
(45.58812200600005, -121.16361529099999)"
Irrigon Medical Clinic,220 N Main St,,97844,Morrow,Oregon,541-922-5880,http://www.morrowcountyhealthdistrict.org/facilities/imc/contact-us,Yes,No,RHC,"220 N Main St
Irrigon, OR 97844
(45.89010772700004, -119.50299901699998)"
Jefferson HS,5210 N Kerby Ave,,97217,Multnomah,Oregon,503-988-3360,http://osbha.org/centers/jeffersonghighschool,No,Yes,FQHC/SBHC,"5210 N Kerby Ave
Portland, OR 97217
(45.56017963100004, -122.67293047099997)"
"Jordan Valley Health Clinic, Inc.",400 Iowa St,,97910,Malheur,Oregon,541-586-2422,http://www.yellowbook.com/profile/jordan-valley-health-clinic_1634030225.html,No,No,RHC,"400 Iowa St
Jordan Valley, OR 97910
(42.97915709100005, -117.05125976399995)"
Kaiser Sunnyside Medical Center,10108 SE Sunnyside Road,,97015,Clackamas,Oregon,503-652-2880,https://healthy.kaiserpermanente.org/html/kaiser/index.shtml,No,No,Hospital,"10108 SE Sunnyside Road
Clackamas, OR 97015
(45.433311925000055, -122.56147818799997)"
Klamath Open Door Family Practice,2074 S 6th St,,97601,Klamath,Oregon,541-851-8110,http://www.klamathopendoor.org/?page_id=24,Yes,Yes,FQHC,"2074 S 6th St
Klamath Falls, OR 97601
(42.215713927000024, -121.76591183999994)"
Klamath Tribal Health & Family Services,3949 S 6th St,,97603,Klamath,Oregon,541-882-1487,http://www.klamathtribalhealth.org,Yes,No,Tribal,"3949 S 6th St
Klamath Falls, OR 97603
(42.20643690600008, -121.73985990099999)"
Klamath Tribal Wellness Center ,330 Chiloquin Blvd,,97624,Klamath,Oregon,541-882-1487,http://www.klamathtribes.org/,Yes,No,Tribal,"330 Chiloquin Blvd
Chiloquin, OR 97624
(42.57561417200003, -121.87410649399999)"
La Clinica Central Point Health Center,4940 Hamrick Rd,,97502,Jackson,Oregon,541-535-6239,http://www.laclinicahealth.org/Page.asp?NavID=7#jewett,Yes,No,FQHC,"4940 Hamrick Rd
Central Point, OR 97502
(42.387756515000035, -122.89177759499995)"
La Clinica Crater HS,655 N Third St,,97502,Jackson,Oregon,541-494-6323,http://www.laclinicahealth.org,No,Yes,FQHC/SBHC,"655 N Third St
Central Point, OR 97502
(42.37981038000004, -122.91965705299998)"
La Clinica De Buena Salud ,6736 NE Killingsworth St,,97218,Multnomah,Oregon,503-988-3991,http://web.multco.us/health/primary-care-clinics,Yes,Yes,FQHC,"6736 NE Killingsworth St
Portland, OR 97218
(45.56268238700005, -122.59326977199999)"
La Clinica del Valle - Birch Grove Health Center,140 S. Holly St,,97501,Jackson,Oregon,541-535-6239,http://laclinicahealth.org/Page.asp?NavID=210&menu=,,,,
La Clinica East Medford Dental Clinic,1113 Progress Dr,,97504,Jackson,Oregon,541-512-3900,http://www.laclinicahealth.org/Page.asp?NavID=135,Yes,No,FQHC,"1113 Progress Dr
Medford, OR 97504
(42.345077149000076, -122.87266930499999)"
La Clinica Jackson ES,713 Summit Ave,,97501,Jackson,Oregon,541-842-3771,http://www.laclinicahealth.org,Yes,Yes,FQHC/SBHC,"713 Summit Ave
Medford, OR 97501
(42.331678416000045, -122.88683660999999)"
La Clinica Jewett ES,1001 Manzanita St,,97502,Jackson,Oregon,541-494-6611,http://laclinicahealth.org,Yes,Yes,FQHC/SBHC,"1001 Manzanita St
Central Point, OR 97502
(42.378986499000064, -122.91023599699997)"
La Clinica Oak Grove ES ,2838 W Main St,,97501,Jackson,Oregon,541-842-3374,http://www.laclinicahealth.org/Page.asp?NavID=32,Yes,No,FQHC/SBHC,"2838 W Main St
Medford, OR 97501
(42.32378643800007, -122.90984882999999)"
La Clinica Phoenix Health Center,3617 S Pacific Hwy,,97501,Jackson,Oregon,541-535-6239,http://www.laclinicahealth.org/Page.asp?NavID=89,Yes,Yes,FQHC,"3617 S Pacific Hwy
Medford, OR 97501
(42.286903050000035, -122.83226223899999)"
La Clinica School Based Health Center at Scenic,713 Summit Dr,,97501,Jackson,Oregon,541-842-3771,http://laclinicahealth.org/Page.asp?NavID=32,,,,
La Clinica Washington ES ,610 S Peach St,,97501,Jackson,Oregon,541-842-3521,http://www.laclinicahealth.org/Page.asp?NavID=32,Yes,No,FQHC/SBHC,"610 S Peach St
Medford, OR 97501
(42.316987975000075, -122.88266650199995)"
La Clinica West Medford Health Center,1307 W Main St,,97501,Jackson,Oregon,541-535-6239,http://www.laclinicahealth.org/Page.asp?NavID=90,Yes,No,FQHC,"1307 W Main St
Medford, OR 97501
(42.323672362000025, -122.88680895499999)"
La Clinica Women's Health Center,910 Central Ave,,97501,Jackson,Oregon,541-535-6239,http://www.laclinicahealth.org/Page.asp?NavID=91,Yes,No,FQHC,"910 Central Ave
Medford, OR 97501
(42.318661089000045, -122.86546754399996)"
La Grande HS,708 K Ave,,97850,Union,Oregon,541-663-3331,http://www.lagrandesd.org/,No,No,SBHC,"708 K Ave
La Grande, OR 97850
(45.321181403000026, -118.10017959599998)"
Lake District Hospital,700 South J Street,,97630,Lake,Oregon,541-947-2114,http://www.lakehealthdistrict.org/,No,No,Hospital,"700 South J Street
Lakeview, OR 97630
(42.18147963400003, -120.351436364)"
Lancaster Family Health Center,3896 Beverly Ave NE Bldg J,Suite 40,97305,Marion,Oregon,503-588-0076,http://www.yvfwc.com/lancaster-family-health-center-salem/,Yes,No,FQHC,"3896 Beverly Ave NE Bldg J
Salem, OR 97305
(44.96112214300007, -122.98480015299998)"
Lane County Behavioral Health - Primary Care CHC,2411 Martin Luther King Jr Blvd,,97401,Lane,Oregon,541-682-3550,http://www.lanecounty.org/Departments/HHS/CHC/Pages/default.aspx,Yes,Yes,FQHC,"2411 Martin Luther King Jr Blvd
Eugene, OR 97401
(44.05978656600007, -123.07399022299995)"
Lane MS,7200 SE 60th Ave,,97206,Multnomah,Oregon,503-988-5640,http://osbha.org/centers/lanemiddleschool,Yes,Yes,FQHC/SBHC,"7200 SE 60th Ave
Portland, OR 97206
(45.47132026600008, -122.60215040799994)"
La Pine Community Health Center,51600 S Huntington Rd,,97739,Deschutes,Oregon,541-536-3435`,http://www.lapinecc.com/,Yes,No,FQHC,"51600 S Huntington Rd
La Pine, OR 97739
(43.675468317000025, -121.50411456399996)"
La Pine K-12,51633 Coach Rd,,97739,Deschutes,Oregon,541-536-0400,http://www.deschutes.org/Health-Services/Public-Health/School-Based-Health-Center.aspx,No,No,SBHC,"51633 Coach Rd
La Pine, OR 97739
(43.677759053000045, -121.50557680999998)"
La Pine School Based Health Center,51605 Coach Rd,,97739,Deschutes,Oregon,541-536-0400,http://www.deschutes.org/standard-location/la-pine-community-campus,,,,
Legacy Clinic St Helens,500 N Columbia River Hwy,Suite 6,97051,Columbia,Oregon,503-397-0471,http://www.legacyhealth.org/locations/clinics/primary-care-clinics/st-helens.aspx,No,Yes,RHC,"500 N Columbia River Hwy
St Helens, OR 97051
(45.86433709100004, -122.819471911)"
Legacy Emanuel Hospital,2801 N Gantenbein,,97227,Multnomah,Oregon,503-413-2200,http://www.legacyhealth.org/locations/hospitals/legacy-emanuel-medical-center.aspx,No,Yes,Hospital,"2801 N Gantenbein
Portland, OR 97227
(45.544199787000025, -122.66953815299996)"
Legacy Good Samaritan Hospital and Medical Center,1015 NW 22nd Avenue,,97210,Multnomah,Oregon,503-413-7711,http://www.legacyhealth.org/locations/hospitals/legacy-good-samaritan-medical-center.aspx,No,No,Hospital,"1015 NW 22nd Avenue
Portland, OR 97210
(45.53049569900003, -122.69665825799996)"
Legacy Medical Group – Firwood,36860 Industrial Way,,97055,Clackamas,Oregon,503-826-0206,http://www.legacyhealth.org/locations/clinics/primary-care-clinics/firwood.aspx,No,Yes,RHC,"36860 Industrial Way
Sandy, OR 97055
(45.40238039800005, -122.28513233099994)"
Legacy Medical Group - Powell Butte,17332 SE Powell Blvd,,97236,Multnomah,Oregon,503-415-4110,http://www.legacyhealth.org/locations/clinics/primary-care-clinics/powell-butte.aspx,,Yes,,
Legacy Meridian Park Hospital,19300 SW 65th Ave,,97062,Washington,Oregon,503-692-1212,http://www.legacyhealth.org/locations/hospitals/legacy-meridian-park-medical-center.aspx,No,No,Hospital,"19300 SW 65th Ave
Tualatin, OR 97062
(45.380568855000035, -122.74392024899998)"
Legacy Mt. Hood Medical Center,24800 SE Stark,,97030,Multnomah,Oregon,503-674-1122,http://www.legacyhealth.org/locations/hospitals/legacy-mount-hood-medical-center.aspx,No,Yes,Hospital,"24800 SE Stark
Gresham, OR 97030
(45.51907012800007, -122.42711018799997)"
Letty Owings Center CCC,2545 NE Flanders St,,97232,Multnomah,Oregon,503-235-3546,http://www.centralcityconcern.org/changing-lives/letty-owings-center.html,Yes,No,FQHC,"2545 NE Flanders St
Portland, OR 97232
(45.52574714600007, -122.63956960799999)"
Lewis & Clark ES,1060 Eisenschmidt Ln,,97051,Columbia,Oregon,503-397-0471,http://osbha.org/centers/sacagaweahealthcenter,No,No,SBHC,"1060 Eisenschmidt Ln
St Helens, OR 97051
(45.86073373800008, -122.80823607499997)"
Lincoln City Clinic,4422 NE Devils Lake Blvd,Suite 2,97367,Lincoln,Oregon,541-265-4947,http://www.lincolncountyhealth.com/HC/LCHClocations.htm,Yes,No,FQHC,"4422 NE Devils Lake Blvd
Lincoln City, OR 97367
(44.998006684000075, -123.99685964199995)"
Lincoln City Medical Center,2870 NE Devils Lake Rd,,97367,Lincoln,Oregon,541-994-9191,http://www.samhealth.org/locations/medical-clinics/Pages/samaritanlincolncitymedicalcenter.aspx,No,No,RHC,"2870 NE Devils Lake Rd
Lincoln City, OR 97367
(45.00718378700003, -123.99406680099997)"
Lincoln County Addiction Recovery Program,36 SW Nye St,,97365,Lincoln,Oregon,541-265-4179,http://www.lincolncountyhealth.com/MH/AddictionsPAGE.htm,Yes,No,FQHC,"36 SW Nye St
Newport, OR 97365
(44.63613949300003, -124.05568823799996)"
Lincoln ES,110 SE Viewmont Ave,,97333,Benton,Oregon,541-766-3546,https://lincoln.csd509j.net/,No,Yes,FQHC/SBHC,"110 SE Viewmont Ave
Corvallis, OR 97333
(44.54362477600006, -123.26588721599995)"
"Lisa Callahan, CPNP",1465 NE 7th St,Suite B,97526,Josephine,Oregon,541-472-0021,http://www.ohsu.edu/xd/outreach/oregon-rural-health/clinics/clinics-directory/rhc-directory-city-name.cfm#CP_JUMP_1328006,No,Yes,RHC,"1465 NE 7th St
Grants Pass, OR 97526
(42.454121830000076, -123.32063056999999)"
Lorna Byrne MS,102 S Junction,,97523,Josephine,Oregon,541-592-6978,http://osbha.org/centers/lornabyrnemiddleschool,No,Yes,FQHC/SBHC,"102 S Junction
Cave Junction, OR 97523
(42.16708701500005, -123.64388654399994)"
Lower Umpqua Hospital,600 Ranch Road,,97467,Douglas,Oregon,541-271-2171,http://www.lowerumpquahospital.org/,Yes,No,Hospital,"600 Ranch Road
Reedsport, OR 97467
(43.69468492100003, -124.13504588599994)"
Lynch ES,1314 SW Kalama Ave,,97756,Deschutes,Oregon,541-504-3589,http://www.deschutes.org/Health-Services/Public-Health/School-Based-Health-Center.aspx,No,No,SBHC,"1314 SW Kalama Ave
Redmond, OR 97756
(44.26660156300005, -121.181959614)"
Madison HS ,2735 NE 82nd Ave,,97220,Multnomah,Oregon,503-988-3382,http://osbha.org/centers/madisonhighschool,Yes,Yes,FQHC/SBHC,"2735 NE 82nd Ave
Portland, OR 97220
(45.540860474000056, -122.57891810199999)"
Madras Medical Group,76 NE 12th St,,97741,Jefferson,Oregon,541-475-7800,http://mosaicmedical.org/madras-clinic/,No,Yes,RHC,"76 NE 12th St
Madras, OR 97741
(44.63712930300005, -121.12208820399997)"
Malheur Memorial Health Center,410 Main St,,97913,Malheur,Oregon,541-372-2211,http://www.malheurmemorialhealthcenter.com,Yes,No,RHC,"410 Main St
Nyssa, OR 97913
(43.87682725900004, -116.99780886699995)"
Marshfield HS,755 S 7th St,,97420,Coos,Oregon,541-267-1495,http://wfall.org/hours/marshfield/,No,No,FQHC/SBHC,"755 S 7th St
Coos Bay, OR 97420
(43.36152913600006, -124.21895735299995)"
McKenzie River Clinic,51730 Dexter St,,97413,Lane,Oregon,541-822-3341,http://mckenzieriverclinic.org,No,No,RHC,"51730 Dexter St
Blue River, OR 97413
(44.15405453400007, -122.33812469599997)"
McKenzie River Clinic,51730 Dexter St,PO Box 183,97413,Lane,Oregon,541-822-3341,http://mckenzieriverclinic.org/,,,,
McKenzie-Willamette Medical Center,1460 G Street,,97477,Lane,Oregon,541-726-4400,http://www.mckweb.com/Pages/home.aspx,No,No,Hospital,"1460 G Street
Springfield, OR 97477
(44.05243731300004, -123.00384967599996)"
Medford Clinic - Community Health Center,19 Myrtle St,,97504,Jackson,Oregon,541-773-3863,http://www.communityhealthcenter.org/,Yes,No,FQHC,"19 Myrtle St
Medford, OR 97504
(42.32725941600006, -122.86295211299995)"
Mercy Medical Center,2700 Stewart Parkway,,97471,Douglas,Oregon,541-673-0611,http://www.mercyrose.org/,No,No,Hospital,"2700 Stewart Parkway
Roseburg, OR 97471
(43.23991616100005, -123.36684610299994)"
Merlo Station HS,1841 SW Merlo Dr,,97006,Washington,Oregon,503-259-5592,http://www.beaverton.k12.or.us/home/schools/merlo-community-school/,No,No,SBHC,"1841 SW Merlo Dr
Beaverton, OR 97006
(45.50667342500003, -122.84779269299997)"
Metro Child Care R&R,912 NE Kelly Ave,Suite 270,97030,Multnomah,Oregon,503) 988-3976,http://web.multco.us/,No,No,FQHC,"912 NE Kelly Ave
Gresham, OR 97030
(45.50389412100003, -122.42601721899996)"
Mid-Columbia Medical Center,1700 E 19th Street,,97058,Wasco,Oregon,541-296-1111,http://www.mcmc.net/,No,No,Hospital,"1700 E 19th Street
The Dalles, OR 97058
(45.58806254600006, -121.16401973899997)"
Mid County Health Center,12710 SE Division St,,97236,Multnomah,Oregon,503-988-3601,http://web.multco.us/health/primary-care-clinics,Yes,No,FQHC,"12710 SE Division St
Portland, OR 97236
(45.50404161300003, -122.53234978499995)"
Migrant Head Start (4 sub-sites),475 NE Burnside Rd,,97030,Multnomah,Oregon,503-988-3976,http://web.multco.us/,Yes,No,FQHC,"475 NE Burnside Rd
Gresham, OR 97030
(45.50777615900006, -122.42622347799994)"
Milton Freewater Clinic,10 NE 5th Ave,,97862,Umatilla,Oregon,541-938-3314,http://www.wallawallaclinic.com/AboutUs.html,No,No,RHC,"10 NE 5th Ave
Milton-Freewater, OR 97862
(45.941151654000066, -118.39661907199996)"
Milwaukie HS,11300 SE 23rd Ave,,97222,Clackamas,Oregon,503-353-5847,http://www.nclack.k12.or.us/site/Default.aspx?PageID=3680,No,No,FQHC/SBHC,"11300 SE 23rd Ave
Milwaukie, OR 97222
(45.442339951000065, -122.63830336999996)"
Mirasol Family Health Center,589 NW 11th St,,97838,Umatilla,Oregon,541-567-1717,http://www.yvfwc.com/mirasol-family-health-center-hermiston/,Yes,No,FQHC,"589 NW 11th St
Hermiston, OR 97838
(45.84441979300004, -119.31098667099997)"
Monroe Health Center ES/MS,610 Dragon Dr,,97456,Benton,Oregon,541-847-5143,http://www.co.benton.or.us/health/primary_care/monroe.php,Yes,No,FQHC/SBHC,"610 Dragon Dr
Monroe, OR 97456
(44.31193233000005, -123.29819545699996)"
Mosaic Medical - Bend,2084 NE Professional Ct,,97701,Deschutes,Oregon,541-383-3005,http://mosaicmedical.org/bend-clinic/,Yes,Yes,FQHC,"409 NE Greenwood Ave
Bend, OR 97701
(44.05993175300006, -121.30011920099997)"
Mosaic Medical - Madras,910 SW Hwy 97 ,Suite 101,97741,Jefferson,Oregon,541-475-7800,http://mosaicmedical.org/madras-clinic/,Yes,Yes,FQHC,"910 SW Hwy 97
Madras, OR 97741
(44.62232241600003, -121.13137685499998)"
Mosaic Medical - Prineville,375 NW Beaver St,Suite 101,97754,Crook,Oregon,541-447-0707,http://mosaicmedical.org/prineville-clinic/,Yes,No,FQHC,"375 NW Beaver St
Prineville, OR 97754
(44.30353910900004, -120.84836826699996)"
Mosaic Medical - Redmond,111 NW Larch Ave,,97756,Deschutes,Oregon,541-923-4452,http://mosaicmedical.org/redmond-clinic/,Yes,No,FQHC,"111 NW Larch Ave
Redmond, OR 97756
(44.28921739800006, -121.16863923699998)"
Mount Angel Family Medicine,250 Marquam St,,97362,Marion,Oregon,503-845-2000,http://silvertonhealth.org/locations/mt-angel-family-medicine,No,No,RHC,"250 Marquam St
Mount Angel, OR 97362
(45.07115238100005, -122.799270106)"
Mount Hood Head Start,10100 NE Prescott St,,97220,Multnomah,Oregon,503-491-6111,http://www.mhcc.edu/CommunityConnections.aspx?id=1026,Yes,No,FQHC,"10100 NE Prescott St
Portland, OR 97220
(45.55536194100006, -122.55852962799997)"
Multnomah County DCHS,421 SW Oak St,,97204,Multnomah,Oregon,503-988-3691,http://web.multco.us/county-human-services,Yes,No,FQHC,"421 SW Oak St
Portland, OR 97204
(45.52133621100006, -122.675592242)"
Multnomah Early Childhood Program,2022 NW Division St,,97030,Multnomah,Oregon,503-988-3976,http://web.multco.us/,Yes,No,FQHC,"2022 NW Division St
Gresham, OR 97030
(45.504411496000046, -122.45302900899998)"
Multnomah Education Service District,11611 NE Ainsworth Circle,,97220,Multnomah,Oregon,503-255-1841,http://w3.mesd.k12.or.us/,Yes,No,FQHC,"11611 NE Ainsworth Circle
Portland, OR 97220
(45.56550663000007, -122.54136754199999)"
NARA Indian Health Clinic,15 N Morris St,,97227,Multnomah,Oregon,503-230-9875,http://www.naranorthwest.org/homepage_files/Page451.htm,Yes,No,FQHC/IHS,"15 N Morris St
Portland, OR 97227
(45.544687202000034, -122.66694897599996)"
NARA Outpatient Treatment Center,1631 SW Columbia St,,97201,Multnomah,Oregon,503-231-2641,http://www.naranorthwest.org/homepage_files/Page554.htm,Yes,No,FQHC/IHS,"1631 SW Columbia St
Portland, OR 97201
(45.51707622500004, -122.69094178799998)"
NARA Oyate Family Services,1776 SW Madison Street,,97205,Multnomah,Oregon,503-224-1044,http://www.naranorthwest.org/homepage_files/Page432.htm,Yes,No,FQHC/IHS,"1776 SW Madison Street
Portland, OR 97205
(45.51839213100004, -122.69141652799999)"
NARA Residential Treatment Center,17645 NW St Helen's Hwy,,97231,Multnomah,Oregon,503-621-1069,http://www.naranorthwest.org/homepage_files/Page609.htm,Yes,No,FQHC/IHS,"17645 NW St Helen's Hwy
Portland, OR 97231
(45.650996588000055, -122.85056967999998)"
NARA Tate Tapo - Adult Mental Health Treatment,1310 SW 17th Ave,,97201,Multnomah,Oregon,503-231-2641,http://www.naranorthwest.org/homepage_files/Page938.htm,Yes,No,FQHC/IHS,"1310 SW 17th Ave
Portland, OR 97201
(45.51748182800003, -122.69147875099998)"
NARA Totem Lodge,1438 SE Division,,97202,Multnomah,Oregon,503-548-0346,http://www.naranorthwest.org/homepage_files/Page634.htm,Yes,No,FQHC/IHS,"1438 SE Division
Portland, OR 97202
(45.50484244900008, -122.65099909099996)"
National College of Natural Medicine Main Clinic,3025 SW Corbett Ave,,97201,Multnomah,Oregon,503-552-1551,http://ncnm-clinic.com/,,Yes,,
New Avenues for Youth,812 SW 10th Ave,,97205,Multnomah,Oregon,503-517-3918,http://www.newavenues.org/,No,No,FQHC,"812 SW 10th Ave
Portland, OR 97205
(45.51920218500004, -122.68252782599995)"
Newport HS,322 NE Eads St,,97365,Lincoln,Oregon,541-265-9281,http://www.lincolncountyhealth.com/HC/SBHCPageNew.htm,Yes,No,FQHC/SBHC,"322 NE Eads St
Newport, OR 97365
(44.63823088500004, -124.04664052099997)"
Newport Primary Care Clinic,1010 SW Coast Hwy,Suite 203,97365,Lincoln,Oregon,541-265-4947,http://www.lincolncountyhealth.com/HC/LCHClocations.htm,Yes,No,FQHC,"1010 SW Coast Hwy
Newport, OR 97365
(44.62712053900003, -124.06140229599998)"
NHC Milwaukie Clinic,10330 SE 32nd Ave,Suite 325,97222,Clackamas,Oregon,503-416-1960,,,,,
North Bend Medical Center - Bandon,110 East 10th Street,,97411,Coos,Oregon,541-347-2313,http://www.nbmconline.com,Yes,No,RHC,"110 East 10th Street
Bandon, OR 97411
(43.109869057000026, -124.40190581799999)"
North Bend Medical Center-Gold Beach,94180 2nd St,,97444,Curry,Oregon,541-247-7047,http://www.nbmconline.com,No,No,RHC,"94180 2nd St
Gold Beach, OR 97444
(42.41313206600006, -124.42015958499996)"
North by Northeast Community Health Center,"3030 NE Martin Luther King, Jr. Blvd.",,97212,Multnomah,Oregon,503-287-4932,http://nxneclinic.org,,Yes,,
Northeast Health Center,5329 NE Martin Luther King Blvd,,97211,Multnomah,Oregon,503-988-5183,http://web.multco.us/health/primary-care-clinics,Yes,No,FQHC,"5329 NE Martin Luther King Blvd
Portland, OR 97211
(45.56258098600006, -122.66145835299994)"
North Eugene HS,200 Silver Ln,,97404,Lane,Oregon,541-790-4445,http://www.4j.lane.edu/instruction/ess/health-services/,No,No,SBHC,"200 Silver Ln
Eugene, OR 97404
(44.09557183000004, -123.132609103)"
North Portland Health Center,9000 N Lombard St,,97203,Multnomah,Oregon,503-988-5304,http://web.multco.us/health/primary-care-clinics,Yes,No,FQHC,"9000 N Lombard St
Portland, OR 97203
(45.59242739000007, -122.75712194199997)"
Oak Street Health Care Center,446 Oak St,,97415,Curry,Oregon,541-412-8898 ,,No,No,RHC,"446 Oak St
Brookings, OR 97415
(42.05471435100003, -124.27892306399997)"
OHSU Family Medicine at Scappoose,51377 Old Portland Rd,,97056,Columbia,Oregon,503-418-4222,http://www.ohsu.edu/xd/health/services/clinics/index.cfm?placeid=FamilyMedicineatScappoose,Yes,Yes,RHC,"51377 Old Portland Rd
Scappoose, OR 97056
(45.741065983000055, -122.87976851399998)"
OHSU Hospital,3181 SW Sam Jackson Park Road,,97239,Multnomah,Oregon,503-494-8311,http://www.ohsu.edu/xd/,No,No,Hospital,"3181 SW Sam Jackson Park Road
Portland, OR 97239
(45.49975206100004, -122.68509480899996)"
Old Town Clinic CCC,727 W Burnside,,97209,Multnomah,Oregon,503-228-4533,http://www.centralcityconcern.org/,Yes,Yes,FQHC,"727 W Burnside
Portland, OR 97209
(45.52305464800003, -122.67778427099995)"
Old Town Recovery Center CCC,33 NW Broadway,,97209,Multnomah,Oregon,503-228-7134,http://www.centralcityconcern.org/contact.html,Yes,No,FQHC,"33 NW Broadway
Portland, OR 97209
(45.523428755000054, -122.67750848699995)"
One Community Health (formerly La Clinica del Carino),1040 Webber St,,97058,Wasco,Oregon,541-386-6380,http://www.onecommunityhealth.org/,Yes,No,FQHC,"1040 Webber St
The Dalles, OR 97058
(45.60700680200006, -121.20622689199996)"
One Community Health (formerly La Clinica Del Cariño),849 Pacific Ave,,97031,Hood River,Oregon,,http://www.onecommunityhealth.org/,Yes,Yes,FQHC,"849 Pacific Ave
Hood River, OR 97031
(45.69656140200004, -121.51959892699995)"
Oregon City HS,19761 S Beavercreek Rd,,97045,Clackamas,Oregon,503-785-8770,http://www.ochs.orecity.k12.or.us/departments/health,Yes,No,FQHC/SBHC,"19761 S Beavercreek Rd
Oregon City, OR 97045
(45.32133580900006, -122.55988931999997)"
Outside In Medical Clinic,1132 SW 13th Ave,,97205,Multnomah,Oregon,503-535-3890,http://www.outsidein.org/,Yes,Yes,FQHC,"1132 SW 13th Ave
Portland, OR 97205
(45.51768347800004, -122.686817771)"
Parkrose HS,12003 NE Shaver St,,97220,Multnomah,Oregon,503-988-3392,http://osbha.org/centers/parkrosehighschool,Yes,Yes,FQHC,"12003 NE Shaver St
Portland, OR 97220
(45.551756451000074, -122.538738035)"
Parkrose Neighborhood Health Access,11717 NE Shaver St,,97220,Multnomah,Oregon,503-988-3976,http://freeclinicdirectory.org/detail/parkrose_neighborhood_health_access_center_portland_or.html,No,No,FQHC,"11717 NE Shaver St
Portland, OR 97220
(45.55178603600007, -122.54173572499997)"
Parkrose School District (6 sub-sites),10636 NE Prescott St,,97220,Multnomah,Oregon,503-408-2100,http://www.parkrose.k12.or.us/,No,No,FQHC/SBHC,"10636 NE Prescott St
Portland, OR 97220
(45.55536194100006, -122.55293990899997)"
Peace Harbor Hospital,400 9th Street,,97439,Lane,Oregon,541) 997-8412 ,http://www.peacehealth.org/peace-harbor/Pages/default.aspx,No,No,Hospital,"400 9th Street
Florence, OR 97439
(43.97457090900008, -124.11762643099996)"
Peacehealth Medical Group - Dexter,38843 Dexter Rd,,97431,Lane,Oregon,541-767-5200,http://www.peacehealth.org/phmg/cottage-grove/locations/dexter/Pages/Default.aspx,Yes,No,RHC,"38843 Dexter Rd
Dexter, OR 97431
(43.915926486000046, -122.82217746799995)"
"Pediatric Specialists of Pendleton, LLC",1600 SE Court Pl,Suite L01,97801,Umatilla,Oregon,541-276-0250,http://www.pediatricspecialistsofpendleton.com/,No,No,RHC,"1600 SE Court Pl
Pendleton, OR 97801
(45.67415182500008, -118.76966915699995)"
Pendleton HS,1800 NW Carden Ave,,97801,Umatilla,Oregon,541-966-3857,http://hs.pendleton.k12.or.us/health_center,No,No,SBHC,"1800 NW Carden Ave
Pendleton, OR 97801
(45.673603068000034, -118.80517546299996)"
Pendleton Primary Care Office,1100 Southgate,Suite 9,97801,Umatilla,Oregon,541-966-6916,,,,,
Phoenix ES ,215 N Rose St,,97535,Jackson,Oregon,541-535-1065,http://www.laclinicahealth.org/Page.asp?NavID=32,No,Yes,SBHC,"215 N Rose St
Phoenix, OR 97535
(42.273307276000025, -122.81958137799995)"
Pine Eagle Clinic,218 N Pine St,,97834,Baker,Oregon,503-742-5023,http://www.ohsu.edu/xd/outreach/oregon-rural-health/clinics/clinics-directory/rhc-directory-city-name.cfm#CP_JUMP_1328008,Yes,No,RHC,"218 N Pine St
Halfway, OR 97834
(44.87934798200007, -117.11304224899999)"
Pine Eagle Clinic,218 N Pine St,PO Box 647,97834,Baker,Oregon,541-742-5023,http://pineeagleclinic.org/,,,,
Pioneer Memorial Clinic,130 Thompson Ave,,97836,Morrow,Oregon,541-676-5504,http://www.morrowcountyhealthdistrict.org/facilities/pioneer-memorial-clinic,Yes,No,RHC,"130 Thompson Ave
Heppner, OR 97836
(45.354677808000076, -119.54833680799999)"
Pioneer Memorial Hospital (Heppner),564 E Pioneer Drive,,97836,Morrow,Oregon,541-676-9133,http://www.morrowcountyhealthdistrict.org/facilities/pioneer-memorial-hospital-nursing-facility,Yes,No,Hospital,"564 E Pioneer Drive
Heppner, OR 97836
(45.356362871000044, -119.54899767899997)"
Pioneer Memorial Hospital (Prineville),1201 NE Elm Street,,97754,Crook,Oregon,541-447-6254,http://www.stcharleshealthcare.org/Our-Locations/Prineville,No,No,Hospital,"1201 NE Elm Street
Prineville, OR 97754
(44.30960932900007, -120.84257805099998)"
Portland Early Intervention Program,2600 SE 71st Ave,,97206,Multnomah,Oregon,503-988-3976,http://web.multco.us/,No,No,FQHC,"2600 SE 71st Ave
Portland, OR 97206
(45.50393675600003, -122.58976035399996)"
Portland Public Schools (102 sub-sites),501 N Dixon St,,97227,Multnomah,Oregon,503-916-2000,http://www.pps.k12.or.us/,Yes,No,FQHC,"501 N Dixon St
Portland, OR 97227
(45.53483519200006, -122.67116287099998)"
