VentureFirm,Date,StartUp,Investment
General Catalyst,3/1/2015,Alation,$9M / Series A
General Catalyst,2/1/2015,Jet,$140M / Venture
General Catalyst,1/1/2015,Giphy,$21.55M / Series B
General Catalyst,1/1/2015,Pushbullet,$1.5M / Seed
General Catalyst,1/1/2015,ClassPass,$40M / Series B (Lead)
General Catalyst,1/1/2015,Driftt,$15M / Series A
General Catalyst,1/1/2015,Verne Global,$98M / Series D
General Catalyst,12/1/2014,Elemental Technologies,$14.5M / Series D
General Catalyst,12/1/2014,Bustle,$15.5M / Series C (Lead)
General Catalyst,12/1/2014,Chatous,$2.1M / Seed (Lead)
General Catalyst,12/1/2014,ThreatStream,$22M / Series B (Lead)
General Catalyst,12/1/2014,Stripe,$70M / Series C
General Catalyst,11/1/2014,Altiscale,$30M / Series B
General Catalyst,11/1/2014,YPlan,$24M / Series B (Lead)
General Catalyst,11/1/2014,Bigcommerce,$50M / Series D
General Catalyst,11/1/2014,Menlo Security,$10M / Series A (Lead)
General Catalyst,11/1/2014,indico data solutions,$3M / Seed
General Catalyst,11/1/2014,"VisaNow.com, Inc.",$22.1M / Series A (Lead)
General Catalyst,10/1/2014,Visible Measures,$7M / Series F
General Catalyst,10/1/2014,Abacus,$3.5M / Seed (Lead)
General Catalyst,10/1/2014,Brainly,$9M / Series A (Lead)
General Catalyst,10/1/2014,Shareaholic,$2.3M / Series A
General Catalyst,9/1/2014,Baremetrics,$500k / Seed
General Catalyst,9/1/2014,Superpedestrian,$4M / Series B
General Catalyst,9/1/2014,Talkray,$5.3M / Series B
General Catalyst,9/1/2014,Ping Identity Corporation,$35M / Series G
General Catalyst,9/1/2014,Kin Community,$12M / Series C
General Catalyst,9/1/2014,Livongo Health,$10M / Series A (Lead)
General Catalyst,9/1/2014,GoodData,$25.7M / Series E
General Catalyst,9/1/2014,FlightCar,$13.5M / Series A
General Catalyst,9/1/2014,Fractyl Laboratories,$19.76M / Series B
General Catalyst,9/1/2014,Black Duck Software,$20M / Series F (Lead)
General Catalyst,8/1/2014,Honest Co.,$70M / Series C
General Catalyst,8/1/2014,Wildcard,$7M / Series A (Lead)
General Catalyst,7/1/2014,JuiceBox Games,$2.5M / Seed
General Catalyst,7/1/2014,PumpUp,$2.4M / Seed (Lead)
General Catalyst,7/1/2014,Singular,$5M / Seed
General Catalyst,7/1/2014,Gridco,$12M / Venture
General Catalyst,6/1/2014,Chloe + Isabel,$15M / Series C
General Catalyst,6/1/2014,One Month,$770k / Seed
General Catalyst,6/1/2014,Rocana,$4.4M / Series A (Lead)
General Catalyst,6/1/2014,Handy,$30M / Series B
General Catalyst,6/1/2014,Super Evil Mega Corp,$15M / Series A
General Catalyst,5/1/2014,Mustbin,$1.5M / Series A
General Catalyst,5/1/2014,Oscar,$80M / Series A
General Catalyst,5/1/2014,OGSystems,undisclosed amount /Venture
General Catalyst,4/1/2014,RealtyShares,$1.9M / Venture (Lead)
General Catalyst,4/1/2014,NatureBox,$18M / Series B
General Catalyst,4/1/2014,Runscope,$6M / Series A (Lead)
General Catalyst,4/1/2014,Magin,€230k / Seed
General Catalyst,3/1/2014,Circle,$17M / Series B
General Catalyst,3/1/2014,Flite,$23M / Series D
General Catalyst,3/1/2014,L2,$16.5M / Venture
General Catalyst,3/1/2014,Kensho,$10M / Seed
General Catalyst,3/1/2014,ownCloud,$6.3M / Series A (Lead)
General Catalyst,2/1/2014,Gusto,$20M / Series A (Lead)
General Catalyst,1/1/2014,ClearSky Data,$12M / Series A (Lead)
General Catalyst,1/1/2014,ClearSky Technologies,$12M / Venture
General Catalyst,1/1/2014,Oscar,$30M / Seed
General Catalyst,1/1/2014,Heyday,$3.5M / Series A (Lead)
Greycroft Partners,12/1/2015,"DataScience, Inc.",$22M / Series A
Greycroft Partners,12/1/2015,Shoes of Prey,$15.5M / Series B
Greycroft Partners,11/1/2015,EventBoard,$6.5M / Series A (Lead)
Greycroft Partners,11/1/2015,The Dodo,$11.5M / Series B
Greycroft Partners,10/1/2015,Kaleo Software,$7M / Series A
Greycroft Partners,10/1/2015,Curacity,$1.5M / Seed (Lead)
Greycroft Partners,10/1/2015,TinderBox,$7M / Venture (Lead)
Greycroft Partners,10/1/2015,"Netsertive, Inc",$24M / Series C
Greycroft Partners,10/1/2015,CareSync,$18M / Series B
Greycroft Partners,10/1/2015,Inventables,$5M / Series B
Greycroft Partners,9/1/2015,Molio Inc.,$1M / Debt Financing
Greycroft Partners,8/1/2015,Everything But The House (EBTH),$30M / Series B
Greycroft Partners,8/1/2015,Who What Wear,$8M / Series B
Greycroft Partners,8/1/2015,Inverse,undisclosed amount / Seed
Greycroft Partners,8/1/2015,Clique Media Group (CMG),$8M / Series B
Greycroft Partners,7/1/2015,Thrive Market,$30M / Series A (Lead)
Greycroft Partners,7/1/2015,Plated,$35M / Series B
Greycroft Partners,7/1/2015,When I Work,$5M / Series B
Greycroft Partners,7/1/2015,Karmic Labs,$5M / Series A (Lead)
Greycroft Partners,6/1/2015,Nativo,$20M / Series B
Greycroft Partners,6/1/2015,Lost My Name,$9M / Series A
Greycroft Partners,6/1/2015,"Dropoff, Inc.",$7M / Series A (Lead)
Greycroft Partners,6/1/2015,Sourcepoint,$10M / Series A (Lead)
Greycroft Partners,6/1/2015,Managed by Q,$15M / Series A
Greycroft Partners,6/1/2015,Azimo,$20M / Series B
Greycroft Partners,6/1/2015,Dasher,$840k / Seed
Greycroft Partners,6/1/2015,"DataScience, Inc.",$4.5M / Series A (Lead)
Greycroft Partners,5/1/2015,HelloTech,$2M / Seed
Greycroft Partners,5/1/2015,Munchery,$85M / Series C
Greycroft Partners,5/1/2015,AlphaDraft,$5M / Seed
Greycroft Partners,5/1/2015,Blitsy,$3.6M / Series A (Lead)
Greycroft Partners,4/1/2015,Icertis,$6M / Series A (Lead)
Greycroft Partners,4/1/2015,Flashpoint,$5M / Series A
Greycroft Partners,4/1/2015,Acorns,$23M / Series C (Lead)
Greycroft Partners,4/1/2015,The RealReal,$40M / Series D
Greycroft Partners,4/1/2015,Custora,$6.5M / Series A
Greycroft Partners,3/1/2015,wedgies,$1.2M / Seed (Lead)
Greycroft Partners,3/1/2015,BetterCloud,$25M / Series D
Greycroft Partners,3/1/2015,Cotopaxi,$6.5M / Series A (Lead)
Greycroft Partners,2/1/2015,Livefyre,$15M / Series C
Greycroft Partners,2/1/2015,Livefyre,$32M / Series D
Greycroft Partners,2/1/2015,Skimlinks,$16M / Series C
Greycroft Partners,2/1/2015,Molio Inc.,$3M / Series A (Lead)
Greycroft Partners,2/1/2015,NuORDER,$2.8M / Venture
Greycroft Partners,1/1/2015,Button,$12M / Series A
Greycroft Partners,1/1/2015,Boxed,$25M / Series B
Greycroft Partners,1/1/2015,App Annie,$55M / Series D
Greycroft Partners,12/1/2014,wedgies,$700k / Seed
Greycroft Partners,12/1/2014,"Playdots, Inc.",$10M / Series A (Lead)
Greycroft Partners,12/1/2014,The Skimm,$6.25M / Series A
Greycroft Partners,12/1/2014,Whipclip,$20M / Series B
Greycroft Partners,12/1/2014,Eloquii,$6M / Series A
Greycroft Partners,11/1/2014,Everything But The House (EBTH),$13M / Series A
Greycroft Partners,11/1/2014,Scopely,$35M / Series A
Greycroft Partners,11/1/2014,ZergNet,$3.2M / Series A (Lead)
Greycroft Partners,11/1/2014,Trustev,€3.21M / Convertible Note
Greycroft Partners,10/1/2014,Seedling,$7M / Venture
Greycroft Partners,10/1/2014,Recurly,$12M / Series B
Greycroft Partners,9/1/2014,Performance Horizon,$10M / Series B
Greycroft Partners,9/1/2014,JW Player,$20M / Series C (Lead)
Greycroft Partners,9/1/2014,The Dodo,$4.68M / Series A
Greycroft Partners,9/1/2014,Cord Project,$1.8M / Seed
Greycroft Partners,9/1/2014,"Netsertive, Inc",$3M / Series B
Greycroft Partners,8/1/2014,The Earnest Research Company,undisclosed amount /Series A
Greycroft Partners,8/1/2014,Validic,$5M / Series A (Lead)
Greycroft Partners,8/1/2014,Plated,$15M / Series A (Lead)
Greycroft Partners,8/1/2014,All Def Digital,$5M / Series A (Lead)
Greycroft Partners,7/1/2014,BaubleBar,$10M / Series B
Greycroft Partners,7/1/2014,Button,$2.25M / Seed
Greycroft Partners,7/1/2014,tuul,$2.4M / Seed (Lead)
Greycroft Partners,7/1/2014,MakersKit,$1.5M / Seed
Greycroft Partners,6/1/2014,Epoxy,$6.5M / Series A
Greycroft Partners,6/1/2014,Elite Daily,$1.5M / Convertible Note
Greycroft Partners,5/1/2014,App Annie,$17M / Series C
Greycroft Partners,5/1/2014,Boxed,$6.5M / Series A
Greycroft Partners,5/1/2014,Wochit,$10.9M / Series B
Greycroft Partners,5/1/2014,Media Redefined,$2.25M / Seed
Greycroft Partners,5/1/2014,The RealReal,$20.37M / Series C
Greycroft Partners,4/1/2014,WorkFusion,$15M / Series B
Greycroft Partners,4/1/2014,elicit,$525k / Series A
Greycroft Partners,4/1/2014,Connectivity,$6.35M / Series A (Lead)
Greycroft Partners,4/1/2014,Ceros,$6.2M / Venture
Greycroft Partners,4/1/2014,Fisoc,$19M / Venture
Greycroft Partners,3/1/2014,Azimo,$10M / Series A (Lead)
Greycroft Partners,1/1/2014,Savoteur (formerly Daily Secret),$1.25M / Series B
Greycroft Partners,1/1/2014,Amplify.LA,$8.1M / Series B
Greycroft Partners,1/1/2014,The Dodo,$2M / Seed
Greycroft Partners,1/1/2014,When I Work,$4M / Series A
Greycroft Partners,1/1/2014,Vidible,$3.35M / Series A (Lead)
Mithril Capital,11/1/2015,Fractyl Laboratories,$57M / Series C
Mithril Capital,10/1/2015,AppDirect,$140M / Series E
Mithril Capital,8/1/2015,C2FO,$40M / Series D
Mithril Capital,6/1/2015,Classy,$18M / Series B
Mithril Capital,2/1/2015,AppDirect,$50M / Series D (Lead)
Mithril Capital,9/1/2014,Performance Horizon,$10M / Series B (Lead)
Mithril Capital,9/1/2014,Palantir Technologies,$444.18M / Private Equity
Mithril Capital,9/1/2014,Fractyl Laboratories,$19.76M / Series B (Lead)
Mithril Capital,8/1/2014,DoubleDutch,$15M / Series D (Lead)
Mithril Capital,8/1/2014,Helion Energy,$1.5M / Seed
Mithril Capital,8/1/2014,Lookout,$150M / Series F
Mithril Capital,8/1/2014,MagForce,$15M / Venture (Lead)
Mithril Capital,4/1/2014,SilverRail Technologies,$40M / Series C (Lead)
Mithril Capital,4/1/2014,AppDirect,$35M / Series C (Lead)
Mithril Capital,3/1/2014,Auris Surgical Robotics,$34.38M / Series A
Founders Fund,11/1/2015,PlanGrid,$40M / Series B
Founders Fund,10/1/2015,Collective Health,$81M / Series C
Founders Fund,10/1/2015,8i,$13.5M / Series A
Founders Fund,10/1/2015,BuildZoom,$11M / Series A
Founders Fund,10/1/2015,Service,$3.1M / Seed (Lead)
Founders Fund,10/1/2015,RunTitle,$8M / Series A (Lead)
Founders Fund,9/1/2015,Compass,$50M / Series C
Founders Fund,9/1/2015,Stem CentRx,$250M / Series G
Founders Fund,8/1/2015,Modumetal,$33.5M / Venture (Lead)
Founders Fund,8/1/2015,"Qadium, Inc.",$5.97M / Debt Financing(Lead)
Founders Fund,8/1/2015,ZocDoc,$130M / Series D
Founders Fund,8/1/2015,Flexport,$20M / Series A
Founders Fund,7/1/2015,Radius,$50M / Series F
Founders Fund,7/1/2015,Zesty,$19.56M / Series A
Founders Fund,6/1/2015,Tribogenics,$11M / Series B
Founders Fund,6/1/2015,June,$7M / Seed
Founders Fund,6/1/2015,Mousera,$20M / Series A
Founders Fund,6/1/2015,Bolt Threads,$32.3M / Series B
Founders Fund,6/1/2015,Tachyus,$13M / Series A (Lead)
Founders Fund,6/1/2015,Emerald Therapeutics,$20.5M / Series C
Founders Fund,5/1/2015,Zenefits,$500M / Series C
Founders Fund,5/1/2015,AltSchool,$100M / Series B (Lead)
Founders Fund,4/1/2015,Privateer Holdings,$75M / Series B
Founders Fund,3/1/2015,Collective Health,$38M / Series B (Lead)
Founders Fund,2/1/2015,Sols,$11.1M / Series B
Founders Fund,2/1/2015,LoungeBuddy,$3M / Series A (Lead)
Founders Fund,2/1/2015,Postmates,$35M / Series C
Founders Fund,2/1/2015,Transatomic Power Corporation,$2.5M / Seed
Founders Fund,1/1/2015,Planet Labs,$70M / Series C
Founders Fund,1/1/2015,Porch,$65M / Series B
Founders Fund,1/1/2015,Space Exploration Technologies,$1B / Series E
Founders Fund,1/1/2015,Sendbloom,$1.3M / Seed
Founders Fund,1/1/2015,Boxed,$25M / Series B
Founders Fund,1/1/2015,Accion Systems,$2M / Seed (Lead)
Founders Fund,12/1/2014,Hampton Creek,$90M / Series A
Founders Fund,12/1/2014,Stripe,$70M / Series C
Founders Fund,12/1/2014,Misfit Wearables,$40M / Series C
Founders Fund,10/1/2014,Mousera,$8.8M / Series A
Founders Fund,10/1/2014,Glow,$17M / Series B
Founders Fund,9/1/2014,Radius,$54.7M / Series C
Founders Fund,8/1/2014,Transatomic Power Corporation,$2.2M / Seed
Founders Fund,7/1/2014,Canva,$3.6M / Seed
Founders Fund,7/1/2014,Compass,$40M / Series B
Founders Fund,7/1/2014,Hinge,$4.5M / Convertible Note
Founders Fund,6/1/2014,Wish,$50M / Series C (Lead)
Founders Fund,6/1/2014,BitGo,$12M / Series A
Founders Fund,6/1/2014,RigUp,$3M / Seed (Lead)
Founders Fund,5/1/2014,Stem CentRx,$200M / Series F
Founders Fund,5/1/2014,Oscar,$80M / Series A
Founders Fund,5/1/2014,BitPay,$30M / Series A
Founders Fund,4/1/2014,MakeSpace,$8M / Series A
Founders Fund,4/1/2014,Sols,$6.4M / Series A
Founders Fund,4/1/2014,Declara,$16M / Series A
Founders Fund,4/1/2014,Tachyus,$7.2M / Venture (Lead)
Founders Fund,4/1/2014,Last Guide,$2.1M / Seed
Founders Fund,4/1/2014,Lyft,$250M / Series D
Founders Fund,3/1/2014,Vicarious,$40M / Series B
Founders Fund,3/1/2014,AltSchool,$33M / Series A (Lead)
Founders Fund,3/1/2014,Emerald Therapeutics,$6M / Series B
Founders Fund,1/1/2014,Collective Health,$6M / Series A (Lead)
Founders Fund,1/1/2014,Stripe,$80M / Series C (Lead)
Founders Fund,1/1/2014,Oyster,$14M / Series A
Founders Fund,1/1/2014,Oscar,$30M / Seed
Founders Fund,1/1/2014,LOFTY,$2M / Seed
LightSpeed,12/1/2015,Ascend.io,$4M / Seed
LightSpeed,11/1/2015,Evariant,$42.34M / Series C
LightSpeed,11/1/2015,Athos,$35M / Series C
LightSpeed,11/1/2015,Craftsvilla,$34M / Series C (Lead)
LightSpeed,10/1/2015,FILLD,$3.25M / Seed
LightSpeed,10/1/2015,123Feng.Com,$13M / Series A
LightSpeed,10/1/2015,Numerify,$37.5M / Series C
LightSpeed,10/1/2015,EverString,$65M / Series B (Lead)
LightSpeed,9/1/2015,Dremio Corporation,$10M / Series A
LightSpeed,9/1/2015,Datos IO,$12.5M / Series A (Lead)
LightSpeed,9/1/2015,Plexxi,$35M / Series D
LightSpeed,9/1/2015,Netskope,$75M / Series D
LightSpeed,8/1/2015,CloudPassage,$35.9M / Series D (Lead)
LightSpeed,8/1/2015,NuMedii,$2M / Series A
LightSpeed,8/1/2015,OneAssist,$7.72M / Series B
LightSpeed,8/1/2015,Tintri,$125M / Series F
LightSpeed,8/1/2015,Zscaler,$85M / Series D
LightSpeed,8/1/2015,OYO Rooms,$100M / Series B
LightSpeed,7/1/2015,Beme,$2M / Seed
LightSpeed,7/1/2015,Townrush,undisclosed amount / Seed
LightSpeed,7/1/2015,Broex.in,$1M / Seed
LightSpeed,7/1/2015,Delphix,$75M / Series D
LightSpeed,7/1/2015,StyleSeat,$25M / Series B
LightSpeed,6/1/2015,Drafted,$2.5M / Seed
LightSpeed,6/1/2015,enSilo,$10M / Series A (Lead)
LightSpeed,6/1/2015,Mic Network,$17M / Series B (Lead)
LightSpeed,6/1/2015,StacksWare,$2M / Seed
LightSpeed,5/1/2015,Rubrik,$41M / Series B
LightSpeed,5/1/2015,MuleSoft,$128M / Series G
LightSpeed,5/1/2015,Little Labs,$3M / Seed
LightSpeed,5/1/2015,Percolate,$40M / Series C (Lead)
LightSpeed,5/1/2015,Affirm,$275M / Series B
LightSpeed,4/1/2015,Craftsvilla,$19M / Series B
LightSpeed,4/1/2015,LocalOye,$5M / Series A
LightSpeed,4/1/2015,Docker,$95M / Series D
LightSpeed,4/1/2015,VarageSale,$34M / Series B (Lead)
LightSpeed,3/1/2015,LimeRoad,$30M / Series C
LightSpeed,3/1/2015,OYO Rooms,$25M / Series A
LightSpeed,3/1/2015,Cohere Technologies,$35M / Series C
LightSpeed,3/1/2015,Rubrik,$10M / Series A (Lead)
LightSpeed,3/1/2015,Coding,$10M / Series B (Lead)
LightSpeed,3/1/2015,Highfive,$32M / Series B (Lead)
LightSpeed,2/1/2015,Luxe,$20M / Series A
LightSpeed,2/1/2015,Guardant Health,$50M / Series C (Lead)
LightSpeed,1/1/2015,Ping,$10k / Seed
LightSpeed,1/1/2015,Giphy,$21.55M / Series B (Lead)
LightSpeed,1/1/2015,CloudBees,$23.5M / Series D (Lead)
LightSpeed,1/1/2015,BlueVine,$18.5M / Series B (Lead)
LightSpeed,1/1/2015,Personalis,$33M / Series C (Lead)
LightSpeed,12/1/2014,Clever,$30M / Series B (Lead)
LightSpeed,11/1/2014,Eyeview,$15M / Series D
LightSpeed,11/1/2014,SimplyTapp,$6M / Series B
LightSpeed,11/1/2014,Vee,$1M / Venture
LightSpeed,10/1/2014,Luxe,$5.5M / Seed
LightSpeed,10/1/2014,Kespry Inc.,$10M / Series A
LightSpeed,10/1/2014,Gainsight,$25M / Series C
LightSpeed,10/1/2014,Blockchain,$30M / Series A
LightSpeed,9/1/2014,FiveStars,$26M / Series B
LightSpeed,9/1/2014,Numerify,$15M / Series B
LightSpeed,9/1/2014,Plexistor,undisclosed amount /Series A
LightSpeed,9/1/2014,DataStax,$106M / Series E
LightSpeed,8/1/2014,Honest Co.,$70M / Series C
LightSpeed,8/1/2014,Wearable Intelligence,$7.87M / Venture
LightSpeed,8/1/2014,PernixData,$35M / Series C
LightSpeed,8/1/2014,Comprehend Systems,$21M / Series B (Lead)
LightSpeed,8/1/2014,Acupera,$4M / Series A (Lead)
LightSpeed,8/1/2014,Pivot3,$12M / Series E
LightSpeed,8/1/2014,Adatao,$13M / Series A
LightSpeed,8/1/2014,Avi Networks Inc,$20.8M / Series B
LightSpeed,7/1/2014,Rong360,$60M / Series C
LightSpeed,7/1/2014,AppDynamics,$70M / Series E
LightSpeed,7/1/2014,Avere Systems,$20M / Series D
LightSpeed,7/1/2014,Bonobos,$55M / Series D
LightSpeed,7/1/2014,LedgerX,undisclosed amount /Series A (Lead)
LightSpeed,6/1/2014,MapR Technologies,$80M / Private Equity
LightSpeed,6/1/2014,BlockScore,$2M / Seed
LightSpeed,6/1/2014,Distractify,$7M / Series A (Lead)
LightSpeed,6/1/2014,ThoughtSpot,$30M / Series B
LightSpeed,6/1/2014,91JinRong,$10M / Series B
LightSpeed,6/1/2014,Stitch Fix,$30M / Series C
LightSpeed,6/1/2014,Affirm,$45M / Series A
LightSpeed,6/1/2014,Fresh Nation,$1M / Seed
LightSpeed,6/1/2014,Robin,undisclosed amount /Grant
LightSpeed,5/1/2014,Whisper,$36M / Series C
LightSpeed,5/1/2014,Netskope,$35M / Series C
LightSpeed,5/1/2014,LimeRoad,$15M / Series B
LightSpeed,5/1/2014,Evariant,$18.3M / Series B (Lead)
LightSpeed,4/1/2014,Mic Network,$10M / Series A
LightSpeed,4/1/2014,Boundary,$22M / Series C
LightSpeed,3/1/2014,BlueVine,$4M / Series A
LightSpeed,3/1/2014,Embrane,$14M / Series C
LightSpeed,3/1/2014,MuleSoft,$50.5M / Series F
LightSpeed,3/1/2014,Oravel,undisclosed amount /Undisclosed
LightSpeed,3/1/2014,CloudBees,$11.2M / Series C
LightSpeed,2/1/2014,Tintri,$75M / Series E
LightSpeed,2/1/2014,Elementum,$50M / Series B
LightSpeed,1/1/2014,Origami Logic,$15M / Series B
LightSpeed,1/1/2014,StyleSeat,$10.2M / Series A (Lead)
LightSpeed,1/1/2014,Nutanix,$101M / Series D
LightSpeed,1/1/2014,Elastifile,$8M / Series A
LightSpeed,1/1/2014,Tomoon,undisclosed amount /Series A
LightSpeed,1/1/2014,EverString,$12M / Series A (Lead)
Madrona,12/1/2015,Matcherino,$1.25M / Seed (Lead)
Madrona,12/1/2015,"Pixvana, Inc.",$6M / Seed (Lead)
Madrona,12/1/2015,Eventbase,$6M / Series B
Madrona,11/1/2015,Lumo Bodytech,$10M / Series B
Madrona,10/1/2015,Envelop VR,$4M / Series A (Lead)
Madrona,10/1/2015,Cape Productions,$10M / Venture
Madrona,9/1/2015,HelloTech,$12.5M / Series A (Lead)
Madrona,9/1/2015,Area360,$5.5M / Series A (Lead)
Madrona,8/1/2015,Spare5,$10M / Series A
Madrona,8/1/2015,Peach,$8M / Series A
Madrona,5/1/2015,Booster Fuels,$3.11M / Seed
Madrona,5/1/2015,"iSpot.tv, Inc.",$21.9M / Series B
Madrona,5/1/2015,Wonder Workshop (Formerly Play-i),$6.9M / Series A
Madrona,3/1/2015,Jama Software,$20M / Series C
Madrona,3/1/2015,Rover.com,$25M / Series E
Madrona,2/1/2015,"PlayFab, Inc.",$7.4M / Series A
Madrona,2/1/2015,Qumulo,$40M / Series B
Madrona,1/1/2015,Alliance of Angels,$6.6M / Seed
Madrona,1/1/2015,Dato,$18.5M / Series B
Madrona,12/1/2014,Echodyne,$15M / Series A (Lead)
Madrona,12/1/2014,Skytap,$35M / Series D
Madrona,12/1/2014,Spare5,$3.25M / Seed
Madrona,12/1/2014,Icebrg,$2.5M / Seed (Lead)
Madrona,11/1/2014,Intrepid Learning,undisclosed amount /Venture
Madrona,11/1/2014,Highspot,$9.6M / Series A (Lead)
Madrona,11/1/2014,Shippable,$8M / Series A (Lead)
Madrona,11/1/2014,Rover.com,undisclosed amount /Series D
Madrona,10/1/2014,2nd Watch,$10M / Series C
Madrona,10/1/2014,Opal Labs,$8M / Series A (Lead)
Madrona,9/1/2014,Pro.com,$14M / Series A
Madrona,8/1/2014,Bizible,$8M / Series B
Madrona,8/1/2014,Algorithmia,$2.4M / Seed (Lead)
Madrona,7/1/2014,Boomerang Commerce,$8.5M / Series A (Lead)
Madrona,6/1/2014,Placed,$10M / Series B
Madrona,5/1/2014,ExtraHop Networks,$41M / Series C
Madrona,5/1/2014,Jobaline,$7M / Series B
Madrona,5/1/2014,Context Relevant,$21M / Series B
Madrona,5/1/2014,Pro.com,$3.5M / Seed
Madrona,5/1/2014,Igneous Systems,$23.6M / Series A
Madrona,5/1/2014,Smartsheet,$35M / Series E
Madrona,4/1/2014,Julep,$30M / Series C
Madrona,3/1/2014,Rover.com,$12M / Series C
Madrona,3/1/2014,Wonder Workshop (Formerly Play-i),$8M / Series A (Lead)
Madrona,2/1/2014,Skytap,$6.45M / Series C
Madrona,1/1/2014,Evocalize,$3M / Series A
Madrona,1/1/2014,SNUPI Technologies,$7.53M / Series A
Qualcomm Ventures,12/1/2015,Housejoy,$22.4M / Series B
Qualcomm Ventures,11/1/2015,MindTickle,$12.5M / Series A
Qualcomm Ventures,10/1/2015,Attune Technologies,$10M / Series B
Qualcomm Ventures,10/1/2015,Yunmake,$1.6M / Series A
Qualcomm Ventures,9/1/2015,CloudFlare,$110M / Series D
Qualcomm Ventures,9/1/2015,Portea Medical,$37.5M / Series B
Qualcomm Ventures,8/1/2015,Reverie Language Technologies,$4M / Series A
Qualcomm Ventures,8/1/2015,Memed,$500k / Venture
Qualcomm Ventures,8/1/2015,Siklu,$18M / Series D
Qualcomm Ventures,8/1/2015,YourStory,$4M / Series A
Qualcomm Ventures,8/1/2015,Flip Technologies,$100k / Seed
Qualcomm Ventures,7/1/2015,Doctor on Demand,$62.75M / Series B
Qualcomm Ventures,7/1/2015,Workspace,$5M / Venture
Qualcomm Ventures,7/1/2015,Workspot,$5M / Venture
Qualcomm Ventures,7/1/2015,Fotokite,$250k / Convertible Note
Qualcomm Ventures,6/1/2015,MangoPlate,$6.1M / Series A
Qualcomm Ventures,6/1/2015,Matterport,$30M / Series C (Lead)
Qualcomm Ventures,6/1/2015,Curbside,$25M / Series B
Qualcomm Ventures,6/1/2015,Cohesity,$55M / Series B (Lead)
Qualcomm Ventures,6/1/2015,Mantis Vision,$9.7M / Venture
Qualcomm Ventures,5/1/2015,Bitbar,undisclosed amount /Series A
Qualcomm Ventures,5/1/2015,Zeek,$3M / Series A
Qualcomm Ventures,5/1/2015,Zesty,$7.2M / Series A
Qualcomm Ventures,4/1/2015,Clarifai,$10M / Series A
Qualcomm Ventures,4/1/2015,3D Robotics,$14M / Series C
Qualcomm Ventures,4/1/2015,Navdy,$20M / Series A
Qualcomm Ventures,4/1/2015,Peak,$7M / Series A
Qualcomm Ventures,4/1/2015,RetailNext,$125M / Series E
Qualcomm Ventures,4/1/2015,ZopNow,$10M / Series A
Qualcomm Ventures,4/1/2015,Tapingo,$22M / Series C (Lead)
Qualcomm Ventures,4/1/2015,Noom,$16.15M / Series B
Qualcomm Ventures,3/1/2015,August,$38M / Series B
Qualcomm Ventures,3/1/2015,21 Inc,$116M / Venture
Qualcomm Ventures,3/1/2015,Blippar,$45M / Series C
Qualcomm Ventures,2/1/2015,3D Robotics,$50M / Series C
Qualcomm Ventures,2/1/2015,StarMaker Interactive,$6.37M / Series B
Qualcomm Ventures,2/1/2015,Zoom,$30M / Series C
Qualcomm Ventures,2/1/2015,99Taxis,undisclosed amount /Series A
Qualcomm Ventures,1/1/2015,Whistle,$15M / Series B
Qualcomm Ventures,1/1/2015,Ravello Systems,$28M / Series C (Lead)
Qualcomm Ventures,1/1/2015,Sense360,$2.75M / Seed
Qualcomm Ventures,1/1/2015,Welltok,$37M / Series D
Qualcomm Ventures,1/1/2015,JobPlanet,$8.9M / Series B
Qualcomm Ventures,12/1/2014,Predilytics,$10M / Series C (Lead)
Qualcomm Ventures,12/1/2014,Qteros,$7M / Series D
Qualcomm Ventures,11/1/2014,Ineda Systems,$2M / Series B
Qualcomm Ventures,10/1/2014,Telcare,$32.5M / Series C
Qualcomm Ventures,10/1/2014,Magic Leap,$542M / Series B
Qualcomm Ventures,10/1/2014,Traffline,undisclosed amount /Series B
Qualcomm Ventures,9/1/2014,Birds Eye Systems,undisclosed amount /Series B
Qualcomm Ventures,9/1/2014,Placemeter,$6M / Series A
Qualcomm Ventures,9/1/2014,TouchPal,$20M / Series C
Qualcomm Ventures,9/1/2014,Emprego Ligado,$7M / Series A
Qualcomm Ventures,8/1/2014,Swift Navigation,$2.6M / Seed
Qualcomm Ventures,8/1/2014,"360fly, Inc.",$17.8M / Series B (Lead)
Qualcomm Ventures,8/1/2014,MoveInSync,$4M / Series A
Qualcomm Ventures,8/1/2014,OpenSignal,$4M / Series A (Lead)
Qualcomm Ventures,7/1/2014,Workspot,$6.5M / Series A
Qualcomm Ventures,7/1/2014,Edico Genome,$10M / Series A (Lead)
Qualcomm Ventures,7/1/2014,Naldo,undisclosed amount /Series A
Qualcomm Ventures,7/1/2014,Matterport,$16M / Series B
Qualcomm Ventures,7/1/2014,Streetline,$10M / Series D
Qualcomm Ventures,6/1/2014,MapR Technologies,$80M / Private Equity
Qualcomm Ventures,6/1/2014,Housing.com,$19M / Venture (Lead)
Qualcomm Ventures,6/1/2014,Mantis Vision,$12.5M / Venture (Lead)
Qualcomm Ventures,6/1/2014,ClearCare,$11M / Series B
Qualcomm Ventures,5/1/2014,Konotor,$125k / Seed
Qualcomm Ventures,4/1/2014,Ineda Systems,$17M / Series B
Qualcomm Ventures,3/1/2014,goBalto,$5M / Venture
Qualcomm Ventures,2/1/2014,Ingresse,undisclosed amount /Series A
